Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C2, C4, C6, C8, C9",1206,12,0.1 uF,
C10,1206,1,22 uF,
C5,1206,1,2.2 uF,
C7,1206,1,1 uF,
D1,0805,1,BLED,
D2,0805,1,RLED,
"D3, D4",0805,2,GLED,
IC1,SON50P200X300X80-11N,1,TPS62177DQCR,
IC2,SOIC127P600X175-8N,1,SP3485EN-L,
IC3,QFN50P500X500X60-33N-D,1,STM32G031K8U6,
IC4,SOT95P270X145-6N,1,MCP4726A1T-E_CH,
"IC5, IC6",SOIC127P600X175-8N,2,TSB512IYDT,
"IC7, IC8",TS026650BK100SCRD,2,TS02-66-50-BK-100-SCR-D,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,RS485,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Rload,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J5,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,ExtV,
J6,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,+24V,
L1,L_Wuerth_MAPI-3015,1,10 uH,
R1,1206,1,120,
R10,1206,1,1 1%,
R11,1206,1,5.6k,
R12,1206,1,1k,
"R13, R14",1206,2,2.2k,
R15,1206,1,350k,
R2,1206,1,30,
"R3, R4, R7, R8",1206,4,10k,
"R5, R6",1206,2,330,
R9,1206,1,68k,
TP1,TestPoint_Pad_D1.5mm,1,TestPoint,
