Designator,Mid X,Mid Y,Rotation,Layer
C1,100.78,-38.69,90.0,top
C10,142.31,-40.68,270.0,top
C11,129.801,-53.791,180.0,top
C12,149.93,-54.88,0.0,top
C13,94.45,-57.41,0.0,top
C14,109.83,-57.61,0.0,top
C15,118.16,-49.53,0.0,top
C16,122.18,-56.11,270.0,top
C2,109.14,-44.78,270.0,top
C4,122.17,-36.99,0.0,top
C5,146.41,-43.84,180.0,top
C6,94.19,-52.72,270.0,top
C7,98.47,-52.72,270.0,top
C8,137.991,-46.551,90.0,top
C9,127.31,-44.68,0.0,top
D1,93.4125,-44.2,0.0,top
D2,93.4125,-48.25,0.0,top
D3,143.8425,-51.12,0.0,top
D4,143.8225,-54.58,0.0,top
IC1,148.6,-40.65,90.0,top
IC2,104.85,-45.19,90.0,top
IC3,104.9,-52.77,0.0,top
IC4,124.24,-40.63,270.0,top
IC5,132.561,-49.651,180.0,top
IC6,118.04,-54.95,90.0,top
IC7,107.32,-62.95,0.0,top
IC8,96.85,-62.84,0.0,top
J1,109.37,-37.73,180.0,top
J2,114.71,-40.34,0.0,top
J3,128.945,-60.9675,0.0,top
J4,135.17,-61.19,180.0,top
J5,142.615,-61.1675,0.0,top
J6,149.8675,-61.06,0.0,top
L1,146.5,-36.46,180.0,top
R1,104.58,-38.49,90.0,top
R10,120.83,-60.17,0.0,top
R11,149.97,-51.06,180.0,top
R12,112.62,-50.48,0.0,top
R13,120.83,-64.2,0.0,top
R14,112.6,-53.38,180.0,top
R15,115.68,-60.17,0.0,top
R2,98.4125,-44.23,180.0,top
R3,133.61,-45.24,0.0,top
R4,150.03,-36.48,270.0,top
R5,143.9,-47.5,0.0,top
R6,98.24,-48.24,180.0,top
R7,122.14,-44.7,0.0,top
R8,120.72,-40.79,270.0,top
R9,135.231,-53.751,0.0,top
